"healthy_66"	"healthy_67"	"healthy_68"	"healthy_69"	"healthy_70"	"diseased_71"	"diseased_72"	"diseased_73"	"diseased_74"	"diseased_75"
"LOC124902673"	0	0	0	1	0	0	0	0	0	0
"PSMC3"	2998	2417	2931	2606	2277	2504	2137	2045	2262	2603
"SLC39A13"	1401	1210	1275	1236	746	582	615	523	662	763
"MIR4487"	0	0	0	0	0	0	0	0	0	0
"SPI1"	6	7	3	5	0	5	5	6	4	5
"MYBPC3"	0	0	0	0	0	0	0	0	0	0
"MADD.AS1"	0	0	0	0	0	0	0	0	0	0
"MADD"	3228	3487	2722	3437	2584	3180	4520	4120	4792	4856
"NR1H3"	176	209	174	207	164	89	100	111	109	138
"ACP2"	1615	1325	1569	1410	936	1298	1282	1141	1374	1582
"DDB2"	498	262	529	266	325	315	166	154	118	225
"RPS20P26"	4	3	5	1	5	2	2	2	1	0
"MIR6745"	0	0	1	0	0	0	0	0	0	0
"PACSIN3"	256	211	270	215	138	63	46	34	45	60
"ARFGAP2"	2145	1861	1865	2146	1407	1599	1846	1778	2056	2199
"LOC124902672"	12	18	1	15	14	9	5	7	12	10
"LOC124902671"	7	11	7	9	6	9	25	16	15	12
"LOC112268075"	1	0	0	0	0	0	0	0	0	0
"LOC124902670"	0	1	0	0	0	2	0	0	0	1
"CSTPP1"	1570	1287	1540	1337	1170	1345	1354	1313	1585	1675
"LRP4"	2616	2452	2551	2443	2035	3225	3190	2684	3305	3840
"LRP4.AS1"	7	7	10	3	3	7	10	5	8	11
"SNORD67"	1	2	2	2	1	3	5	0	3	6
"LOC124900314"	0	0	0	0	0	0	1	0	0	0
"MIR5582"	1	1	0	1	0	3	1	0	0	3
"CKAP5"	10543	10460	9602	10380	10165	12689	13564	12317	14536	14243
"F2"	1	3	1	5	0	5	9	6	5	5
"ZNF408"	244	201	196	233	133	154	187	180	200	246
"ARHGAP1"	2247	1823	2241	1874	1475	1400	1251	1136	1274	1740
"ATG13"	3466	2661	3244	2849	2409	2212	2116	1985	2502	2591
"HARBI1"	187	149	162	149	126	152	147	158	205	200
"MIR3160.2"	0	0	0	0	0	0	0	0	0	0
"MIR3160.1"	0	0	0	0	0	0	0	0	0	0
"RPS10P19"	119	102	116	113	129	101	69	56	66	94
"AMBRA1"	1704	1413	1549	1564	1198	1390	1529	1584	1710	1819
"CHRM4"	28	9	18	16	7	29	32	35	53	49
"MDK"	8935	7169	6654	9313	5725	3648	2209	2744	2477	3125
"MIR4688"	0	0	0	1	0	0	0	0	1	0
"DGKZ"	1424	1325	1044	1414	820	1045	1237	1193	1411	1411
"CREB3L1"	1107	1393	1047	1633	864	309	276	181	266	259
"LINC02489"	1	0	0	0	1	0	0	0	0	0
"LOC124902669"	1	3	3	0	3	0	3	0	1	2
"LINC02710"	0	0	0	0	0	0	0	0	0	0
"LOC101928894"	0	0	0	0	0	0	0	0	0	0
"FBLIM1P2"	0	0	0	0	0	0	0	0	0	0
"LOC105376661"	6	6	1	9	1	7	8	4	5	11
"PHF21A"	2989	2644	2499	2764	2367	2605	3001	2913	3475	3257
"LARGE2"	22	3	32	11	15	6	5	3	4	10
"PEX16"	246	234	225	267	156	157	218	220	301	311
"C11orf94"	2	8	3	7	4	6	6	3	9	7
"LOC124902668"	0	0	0	0	0	0	0	0	0	0
"MAPK8IP1"	1511	1296	1340	1429	916	1499	1906	2092	2211	2418
"CRY2"	1155	1243	894	1371	858	772	1112	1076	1391	1251
"SLC35C1"	608	621	579	619	434	480	582	520	588	633
"LINC02716"	3	1	0	0	1	2	0	0	2	3
"LINC02690"	1	0	1	0	0	0	0	0	0	0
"LOC124902667"	0	0	0	0	0	0	0	0	0	0
"LOC100507384"	0	0	0	0	0	0	0	0	0	0
"MIR7154"	0	0	0	0	0	0	0	0	0	0
"LOC124902666"	0	0	0	0	0	0	0	0	0	0
"CHST1"	387	555	316	580	306	554	880	758	957	965
"LOC124902665"	0	0	0	0	0	0	2	0	0	0
"LOC105376656"	0	0	0	0	0	0	0	0	0	0
"LOC105376655"	0	0	0	0	0	0	0	0	0	0
"HMGN2P37"	0	0	0	0	0	0	1	0	0	0
"LOC105376654"	5	5	1	6	9	5	16	11	10	10
"LINC02687"	0	1	0	0	0	2	3	1	5	4
"LINC02696"	15	15	16	29	12	20	34	22	23	32
"SYT13"	4286	6099	3609	6299	4032	6348	10208	8848	12969	10484
"LOC105376652"	4	5	1	6	2	1	1	2	5	8
"PRDM11"	968	998	766	1008	683	536	762	684	761	864
"LOC105376650"	0	0	0	0	0	0	0	0	0	0
"LINC02685"	0	0	0	0	0	0	0	0	0	0
"LOC105376649"	0	0	0	0	0	0	0	0	0	0
"TP53I11"	1891	1596	1676	1580	1177	1226	1552	1508	1677	2003
"LOC124902664"	0	1	0	0	1	0	0	1	0	0
"TSPAN18"	4121	4408	3014	4788	3003	1929	2053	2222	2444	2550
"LINC02704"	0	0	0	0	0	0	0	0	0	0
"RPL34P22"	1	1	1	0	0	0	1	0	1	1
"CD82"	673	562	604	715	383	293	274	309	320	413
"LOC105376646"	0	0	0	0	0	0	0	0	0	0
"LOC105376645"	0	0	0	0	0	0	0	0	0	0
"ALX4"	508	471	365	422	284	69	46	53	80	77
"EXT2"	4873	4307	4878	4436	3743	3826	3609	3053	3895	4138
"ACCS"	213	400	77	376	207	20	12	12	12	19
"C11orf96"	73	31	59	49	24	30	39	30	38	39
"LOC124902663"	0	0	1	2	0	1	1	3	0	2
"ACCSL"	11	13	13	16	6	12	15	16	24	19
"ALKBH3.AS1"	0	1	0	0	0	0	0	0	0	0
"SEC14L1P1"	58	33	35	54	31	30	39	60	61	62
"ALKBH3"	474	432	521	535	441	401	501	460	633	522
"LOC105376644"	1	1	0	0	0	0	0	0	1	0
"LOC107984328"	45	45	23	41	40	28	63	67	104	63
"PHB1P2"	0	1	0	0	0	0	0	0	0	2
"RPL23AP63"	0	0	1	0	3	2	0	1	0	0
"MIR129.2"	0	0	0	0	0	0	0	0	0	0
"MIR670HG"	1	1	0	2	1	3	1	3	2	1
"LOC124902807"	0	1	0	1	0	0	2	1	2	2
"MIR670"	1	0	0	0	0	0	1	0	0	1
"HSD17B12"	3441	3137	3595	3260	2256	3866	2670	2801	3453	3969
"CTBP2P6"	0	1	0	0	0	0	0	0	0	0
"PPIAP41"	1	0	2	2	0	1	2	1	0	2
"RN7SKP287"	0	0	0	0	0	0	0	0	0	0
"TTC17"	5004	4317	4726	4290	4373	3890	3752	3476	4325	4325
"API5"	5230	4920	5195	4630	3873	4944	4347	4239	5369	5102
"HNRNPKP3"	0	0	0	0	0	0	0	0	0	0
"LOC124902662"	0	0	0	0	0	0	0	0	0	0
"LOC100533710"	0	0	0	0	0	0	0	0	0	0
"LOC105376642"	0	0	0	0	0	0	0	0	0	0
"LINC02740"	0	0	0	0	0	0	0	0	0	0
"LOC105376641"	0	0	0	0	0	0	0	0	0	0
"LINC02745"	0	0	0	0	0	0	0	0	0	0
"LOC105376639"	0	1	0	0	0	1	0	0	0	0
"LINC01499"	0	0	0	0	0	0	0	0	0	1
"LINC02741"	0	0	0	0	0	0	0	0	0	0
"RPL9P23"	0	1	0	0	0	0	0	0	0	0
"RNU6.365P"	0	0	0	0	0	0	0	0	0	0
"LOC100419712"	0	0	0	1	1	0	1	0	0	1
"LRRC4C"	1496	1465	1596	1367	1211	1384	1688	1367	1786	1838
"LOC646388"	0	0	0	0	0	0	0	0	0	0
"LOC100421559"	0	0	0	0	0	0	0	0	0	0
"MTCO2P26"	0	0	0	0	0	0	0	0	0	1
"MTCO1P26"	0	0	0	0	0	0	0	0	0	0
"LOC105376637"	1	0	0	0	0	0	1	0	0	2
"LOC105376636"	1	1	0	1	1	0	0	0	0	0
"LOC107984362"	0	2	0	0	0	0	0	0	0	1
"RNU6.99P"	0	0	0	0	0	0	0	0	0	0
"RPL18P8"	0	0	0	0	0	0	0	0	0	0
"LOC101928563"	0	0	0	0	0	0	0	0	0	0
"LINC01493"	0	0	0	0	0	0	0	0	0	0
"LOC105376635"	0	0	0	0	0	0	0	0	0	0
"LINC02759"	0	0	0	0	0	0	0	0	0	0
"DNAAF11P1"	0	0	0	0	0	0	0	0	0	0
"LOC105376634"	0	0	0	0	0	0	0	0	0	0
"LINC02760"	0	0	0	0	0	0	0	0	0	0
"RPL7AP56"	0	0	0	0	0	0	0	0	0	0
"LOC105376632"	0	0	0	0	0	0	0	0	0	0
"LOC105376631"	0	0	0	0	0	0	0	0	0	0
"LOC107984326"	4	1	0	2	1	3	3	1	6	2
"LOC100422241"	1	1	0	1	0	0	0	1	2	0
"LOC107984325"	8	11	5	13	16	26	31	42	44	44
"IFTAP"	567	581	627	595	605	620	593	608	646	589
"RAG2"	1	0	0	1	2	0	2	0	2	1
"RAG1"	24	25	26	20	19	27	16	23	22	35
"TRAF6"	988	937	943	824	685	844	864	760	841	874
"PRR5L"	217	127	249	119	142	252	202	159	189	200
"COMMD9"	932	788	878	868	623	934	1039	976	1147	1304
"LOC101928510"	1	0	0	0	0	0	0	0	0	0
"MIR3973"	0	0	0	0	0	0	0	0	0	0
"RPL12P31"	0	0	0	0	0	0	0	0	0	0
"WEE2P1"	0	0	0	0	0	0	0	0	0	0
"LDLRAD3"	3716	2678	3981	2568	2487	3173	1940	2227	2233	2801
"LOC124902661"	1	3	1	1	0	1	3	0	6	0
"KRT18P14"	0	0	0	0	0	0	0	0	0	0
"TRIM44"	8511	7156	8243	6740	6558	7034	6697	6225	7689	7691
"FJX1"	4742	2629	4844	3035	2784	2782	1827	2109	2030	2769
"PAMR1"	790	363	857	336	436	170	118	95	81	164
"SLC1A2.AS1"	0	0	0	0	0	0	0	0	0	0
"SLC1A2"	3649	4297	2990	4476	3051	6455	9507	8160	11923	10497
"CD44.AS1"	0	0	0	0	0	1	0	0	0	0
"SNORD164"	0	0	0	0	0	0	0	0	0	0
"CD44"	3980	1861	7225	1443	2693	4216	1374	865	787	1861
"CD44.DT"	5	0	2	1	1	5	1	1	0	0
"LOC105376627"	1	0	4	0	0	0	0	0	0	0
"LOC105376626"	3	0	0	0	0	1	0	0	0	0
"MIR1343"	0	0	0	0	0	0	0	0	0	0
"PDHX"	1317	1226	1304	1265	922	1242	1181	1193	1594	1562
"APIP"	442	434	393	441	373	357	335	321	395	387
"LOC105376624"	18	20	10	21	19	12	21	16	24	14
"LOC105376625"	0	0	0	0	0	0	0	0	0	0
"LOC102723568"	132	130	146	157	122	154	203	196	239	217
"NDUFB8P3"	93	84	88	68	68	82	109	72	92	105
"EHF"	23	8	25	5	17	9	5	5	4	7
"LINC02707"	0	0	0	0	0	0	0	0	0	0
"ELF5"	1	7	3	4	2	0	0	0	0	0
"CAT"	1198	1249	962	1358	918	802	627	703	705	846
"LOC105376622"	0	0	0	0	0	0	0	0	0	0
"CIR1P3"	0	0	0	0	0	0	0	0	0	0
"MMADHCP2"	1	1	1	2	1	2	1	1	0	1
"ABTB2"	338	357	262	379	267	258	373	282	415	341
"NAT10"	1575	1317	1381	1385	1154	1330	1262	1177	1407	1431
"LOC124902660"	2	1	1	0	0	1	1	1	3	3
"CAPRIN1"	13428	13385	13584	13529	10714	13811	13815	12689	15902	15421
"LOC101929918"	10	17	11	17	8	10	17	12	15	15
"LOC124902659"	0	0	0	0	0	0	1	0	0	0
"LOC105376621"	0	0	0	0	0	0	0	0	0	0
"LMO2"	276	244	273	237	218	277	324	259	385	326
"LINC02721"	0	0	1	0	0	0	0	0	1	0
"LINC02722"	0	0	0	0	0	0	0	0	0	1
"LOC646120"	0	0	0	0	0	0	0	0	0	0
"FBXO3.DT"	0	0	0	0	0	0	0	0	0	0
"FBXO3"	1862	1935	1964	1824	1445	1771	1873	1722	2278	2240
"CD59"	6211	4881	7439	4910	4621	5938	4477	3643	4333	5095
"C11orf91"	3	3	7	7	1	4	3	2	4	2
"LOC105376617"	0	0	0	1	0	1	0	0	0	0
"KIAA1549L"	2476	3084	1818	3042	2082	3675	5432	4332	5872	5629
"HIPK3"	3558	2992	3946	2818	2198	2089	1730	1781	2160	2242
"RPS24P15"	3	4	4	7	7	7	9	4	8	4
"RPL29P23"	0	0	0	0	0	0	0	0	0	0
"CSTF3.DT"	7	6	4	9	3	8	8	5	10	7
"CSTF3"	1844	1729	1647	1850	1581	1835	1801	1611	2049	2003
"LINC00294"	351	423	357	429	303	370	504	447	587	522
"PIGCP1"	1	4	2	7	4	4	5	8	11	4
"TCP11L1"	413	415	389	359	324	368	443	377	464	503
"DEPDC7"	106	93	107	71	96	101	74	64	63	66
"LOC105376615"	0	0	1	0	0	0	0	0	1	0
"QSER1"	4051	3821	3869	3439	2910	3682	3062	2915	3568	3825
"PRRG4"	5	13	1	3	2	6	11	2	10	7
"LOC124902803"	0	0	1	0	0	0	0	0	0	0
"RPL34P2"	0	0	0	0	0	0	0	0	0	0
"CCDC73"	1	2	1	1	3	3	5	1	6	1
"HNRNPA3P9"	0	0	0	0	0	0	0	0	0	0
"EIF3M"	4620	4084	4498	4092	3424	4086	3251	3432	4319	4031
"WT1.AS"	0	0	1	0	0	1	0	0	0	1
"WT1"	5	2	2	1	5	0	0	0	0	3
"SNORA88"	0	0	0	0	0	0	0	0	0	0
"LOC107984322"	0	0	0	0	0	0	0	0	0	0
"THEM7P"	2	3	1	3	1	4	1	1	8	5
"RCN1"	20489	19558	22726	19458	15185	15456	9327	9632	10776	13036
"EIF4A2P5"	0	1	0	0	0	0	0	0	0	0
"LOC124902847"	0	0	0	0	0	0	0	0	0	0
"LOC101928385"	0	0	0	0	0	0	0	0	0	0
"LOC105376613"	0	0	0	0	0	0	0	0	0	0
"LINC03031"	0	0	0	0	0	0	0	0	0	0
"LOC124902658"	2	3	0	6	2	5	7	3	3	3
"LOC124902657"	4	3	3	7	0	7	4	9	4	2
"LOC107984420"	0	0	0	0	0	0	0	0	0	0
"PAUPAR"	8	11	8	10	9	26	13	24	16	11
"PAX6.AS1"	7	9	10	6	7	11	3	7	6	7
"PAX6"	1743	1018	1635	1058	1170	1761	1226	1331	1388	1836
"ELP4"	665	621	677	656	480	654	606	603	718	755
"IMMP1L"	187	177	183	185	147	219	186	213	252	236
"DNAJC24"	655	594	692	610	475	674	526	531	562	617
"CYCSP25"	0	1	0	0	1	0	1	0	0	0
"LOC105376611"	1	4	1	1	2	0	0	3	0	2
"LOC124902656"	0	0	0	0	0	0	0	0	0	0
"DCDC1"	302	257	350	193	246	355	252	246	253	360
"LOC107984419"	1	2	0	0	0	1	1	0	1	0
"LOC101928338"	34	28	25	32	14	4	9	6	6	8
"LINC02859"	2	4	2	4	0	1	1	1	0	2
"MPPED2.AS1"	8	5	1	4	1	6	5	4	11	8
"MPPED2"	395	501	349	470	343	484	672	710	949	768
"RPL12P30"	0	0	0	0	0	1	0	1	1	0
"LOC102723403"	5	3	0	4	7	5	11	16	15	15
"ARL14EP"	1341	1375	1264	1333	1063	1325	1277	1246	1543	1467
"FSHB"	0	0	0	0	0	0	0	0	0	0
"ARL14EP.DT"	3	1	3	1	3	1	2	3	4	0
"LOC107984321"	0	0	0	0	0	0	0	0	0	0
"KCNA4"	47	59	35	64	49	79	126	96	121	124
"LINC01616"	2	7	0	3	2	3	7	7	8	6
"RPL7AP58"	0	0	0	0	0	0	0	0	0	1
"RN7SL240P"	0	0	0	0	0	0	0	0	0	0
"HNRNPRP2"	0	0	0	0	0	0	0	0	0	0
"LINC02546"	0	0	0	0	0	0	0	0	1	0
"LOC100421558"	0	0	0	0	0	0	0	0	0	0
"LINC02755"	0	0	0	0	0	0	0	0	0	1
"EEF1A1P47"	0	0	0	0	0	0	0	0	0	0
"OR2BH1P"	0	0	0	0	0	0	0	0	0	0
"LINC02742"	0	0	0	0	1	0	0	0	0	2
"LOC105376604"	0	0	0	0	0	0	0	2	0	0
"LINC02758"	1	1	0	2	1	0	0	0	0	0
"MIR8068"	0	0	0	0	0	0	0	0	0	0
"RPS15AP31"	0	0	0	0	0	0	0	0	0	0
"RN7SKP158"	0	0	0	0	0	0	0	0	0	0
"ATP5MGP8"	0	0	0	0	0	0	0	0	0	0
"METTL15"	628	546	594	541	446	576	479	457	598	602
"MIR610"	0	0	0	0	0	0	0	0	0	0
"KIF18A"	352	314	296	287	266	487	235	277	240	326
"LOC124902655"	8	3	2	3	2	1	8	8	6	10
"LOC124902654"	0	0	0	1	1	0	0	1	0	1
"LOC124902653"	0	0	0	0	0	0	0	0	0	0
"HSP90AA2P"	59	52	66	59	107	69	74	67	90	60
"CBX3P1"	1	3	3	0	0	1	1	2	0	1
"LOC124902652"	18	18	12	10	14	52	56	61	90	67
"BDNF"	502	381	615	377	336	1053	850	763	1076	1085
"LINC00678"	2	2	0	1	0	0	0	1	0	0
"RPS25P1"	13	6	8	12	14	8	7	1	5	4
"RNA5SP339"	0	0	0	0	0	0	0	0	0	0
"MIR8087"	0	0	0	0	0	0	0	0	0	0
"BDNF.AS"	143	133	119	121	121	98	80	92	95	125
"LIN7C"	1429	1352	1338	1618	868	1728	1815	1792	2754	2474
"RPL37AP7"	0	0	0	0	0	0	0	0	0	0
"LGR4.AS1"	6	7	4	3	4	6	5	3	4	2
"LGR4"	5654	4838	6444	4373	3493	4248	2348	2114	2549	3144
"CCDC34"	763	579	704	577	570	712	430	432	471	551
"LOC105376601"	39	37	34	37	25	38	23	17	22	36
"LOC105376600"	1	2	1	0	1	2	3	2	0	2
"LOC124902651"	5	0	3	0	3	3	1	0	0	1
"BBOX1.AS1"	18	28	29	9	15	17	8	5	5	9
"BBOX1"	131	91	138	81	93	192	135	85	98	138
"FIBIN"	2572	2807	3004	2677	1683	2984	2061	1429	1688	2333
"LOC124902650"	8	7	5	6	7	4	5	9	9	5
"LOC124902649"	0	0	1	0	1	0	0	0	0	1
"SLC5A12"	24	51	21	60	30	9	9	5	3	8
"LOC107987160"	0	0	0	0	0	0	0	0	0	0
"LOC124902648"	0	0	0	0	0	0	0	0	0	0
"MUC15"	0	0	1	0	0	0	0	0	0	0
"LOC105376598"	0	0	0	0	0	0	1	0	0	0
"ANO3.AS1"	0	0	0	0	0	0	0	0	0	0
"ANO3"	29	32	33	37	29	65	43	41	61	49
"LOC100533706"	0	0	0	0	0	0	0	0	0	0
"LINC02699"	0	0	0	0	0	0	0	1	0	0
"LOC107984367"	0	0	0	0	0	0	0	0	0	0
"RPL36AP40"	8	2	6	0	7	2	0	0	0	0
"LOC100130747"	0	0	0	0	0	0	0	0	0	0
"LUZP2"	479	515	489	533	308	580	765	725	968	941
"LOC105376595"	0	0	0	0	0	0	0	0	0	0
"LINC02686"	0	0	0	0	0	0	0	0	0	0
"LOC107984378"	0	0	0	0	0	0	0	0	0	0
"LOC124902647"	0	1	4	0	0	1	0	2	0	1
"RNU6.783P"	0	0	0	0	0	0	0	0	0	0
"LINC02726"	1	1	1	3	3	0	1	1	1	5
"RPS2P38"	0	0	0	0	0	0	0	0	0	0
"THAP12P4"	0	0	0	0	0	0	0	0	0	0
"MIR8054"	0	0	0	0	0	0	0	0	0	0
"WIZP1"	1	0	0	0	1	0	0	0	0	0
"LOC100131557"	0	0	1	0	0	0	0	0	0	0
"LINC02718"	5	1	3	7	0	3	2	8	8	8
"LOC124902646"	1	6	4	4	3	1	3	3	5	4
"CCDC179"	0	0	0	0	0	0	0	0	0	0
"SVIP"	600	528	494	494	285	626	428	476	593	696
"RNA5SP338"	0	0	0	0	0	0	0	0	0	0
"GAS2"	202	228	163	240	134	129	130	116	158	169
"FANCF"	739	772	769	739	467	772	632	697	835	958
"LOC105376588"	0	0	0	0	0	0	1	2	1	1
"LINC01495"	0	0	1	0	0	1	0	0	1	0
"SLC17A6"	1400	1700	1047	1909	1083	2625	3483	3562	4883	4206
"ANO5"	775	751	677	738	570	1231	1480	1245	1854	1619
"LOC124902645"	0	0	0	0	0	2	1	1	3	3
"LOC105376587"	0	0	0	0	0	0	1	0	0	0
"LOC102723370"	2	2	3	4	1	2	1	1	1	0
"RNA5SP337"	0	0	0	0	0	0	0	0	0	0
"LOC100631258"	0	0	0	0	0	0	0	0	0	0
"LOC124902809"	0	0	0	0	0	0	0	1	0	0
"RNA5SP336"	0	0	0	0	0	0	0	0	0	0
"LOC105376585"	0	0	0	0	0	0	0	0	0	0
"NELL1"	523	697	397	654	503	767	1346	1050	1653	1292
"SLC6A5"	2	2	3	3	1	0	1	0	2	1
"HMGB1P40"	1	0	0	0	1	1	0	0	0	0
"LOC105376584"	0	0	0	0	0	0	0	0	0	0
"LOC124902808"	1	1	0	0	0	0	0	0	0	1
"PRMT3"	732	595	805	570	609	617	511	526	625	590
"HTATIP2"	31	34	44	48	29	26	20	14	7	26
"LOC105376583"	14	14	12	8	9	6	9	7	12	9
"DBX1"	18	10	7	13	13	12	5	16	7	21
"LOC124902643"	1	1	1	0	0	0	0	0	0	1
"LOC107984418"	0	0	0	0	0	0	0	0	0	0
"NAV2.AS2"	0	0	0	0	1	0	0	0	0	0
"LOC124902644"	0	0	0	0	0	0	0	0	0	0
"NAV2.AS3"	0	0	0	0	0	0	0	0	0	0
"MIR4694"	0	0	0	0	0	0	0	0	0	0
"NAV2.AS6"	12	18	12	17	5	28	14	18	7	21
"LOC124900310"	0	0	0	0	0	0	0	0	0	0
"MIR4486"	0	0	0	0	0	0	0	0	0	0
"NAV2.AS4"	0	2	0	2	4	3	0	3	1	2
"NAV2.AS5"	0	1	1	0	0	0	0	0	0	0
"RNA5SP335"	0	0	0	0	0	0	0	0	0	0
"NAV2"	3267	2561	3273	2477	2206	3312	2368	2305	2484	3390
"PCNAP4"	0	0	0	0	0	0	0	0	0	0
"E2F8"	136	101	108	98	110	98	57	63	42	73
"CSRP3.AS1"	15	7	7	12	10	13	8	4	7	10
"CSRP3"	0	0	0	0	0	3	1	0	0	0
"ZDHHC13"	568	547	667	618	439	902	890	810	1107	1056
"MRGPRX2"	0	0	0	0	0	0	0	0	0	0
"MRGPRX9P"	0	0	0	0	0	0	0	0	0	0
"MRGPRX10P"	0	0	0	0	0	0	0	0	0	0
"MRGPRX11P"	0	0	0	0	0	0	0	0	0	0
"MRGPRX1"	0	0	0	0	0	0	0	0	0	0
"MRGPRX5P"	0	0	0	0	0	0	0	0	0	0
"MRGPRX6P"	0	0	0	0	0	0	0	0	0	0
"LOC645397"	0	0	0	0	0	0	0	0	0	0
"MRGPRX7P"	0	0	0	0	0	0	0	0	0	0
"MRGPRX8P"	0	0	0	0	0	0	0	0	0	0
"PTPN5"	753	904	455	1031	594	1284	2153	1827	2407	2264
"IGSF22"	16	22	10	26	10	12	32	29	40	27
"TMEM86A"	196	251	221	284	194	234	364	291	372	330
"SRSF3P1"	3	4	3	2	3	5	3	4	5	2
"LOC105376578"	0	0	1	0	0	1	4	1	0	1
"SPTY2D1"	1237	1153	1491	1203	902	975	619	591	677	838
"SPTY2D1OS"	20	12	21	13	10	12	7	7	14	17
"MTCH1P2"	0	0	0	0	0	0	0	0	0	0
"LOC112268073"	0	0	0	0	0	0	0	0	0	0
"UEVLD"	1102	1084	1174	1062	771	1066	809	804	961	1044
"YWHABP2"	5	7	8	11	9	16	17	13	13	16
"TSG101"	1913	1794	2082	1814	1744	1839	1820	1619	2030	2081
"LDHAL6A"	0	0	0	0	0	0	0	0	0	0
"RNA5SP333"	0	0	0	0	0	0	0	0	0	0
"SAA2"	0	2	1	1	1	2	2	1	1	4
"SAA4"	1	1	0	0	1	0	3	0	0	0
"SAA2.SAA4"	0	0	0	0	0	0	0	0	0	0
"SLC25A51P4"	0	0	0	1	0	0	0	0	0	0
"MRGPRX13P"	0	0	0	0	0	0	0	0	0	0
"GLTPP1"	9	3	4	6	7	11	4	1	5	1
"MRGPRX4"	0	1	0	0	0	0	0	0	0	0
"MRGPRX12P"	0	0	0	0	0	0	0	0	0	0
"MRGPRX3"	0	1	1	0	0	0	0	0	0	1
"SAA3P"	0	0	0	0	0	0	0	0	0	0
"HIGD1AP5"	0	0	0	1	1	0	0	0	0	1
"SAAL1"	416	474	414	458	386	411	385	390	479	444
"TPH1"	42	50	20	38	30	43	58	50	70	60
"LOC107984317"	16	23	18	27	28	21	44	30	41	30
"LOC124902642"	15	18	9	13	18	24	48	32	48	52
"SERGEF"	209	184	218	219	182	204	232	203	220	236
"KCNC1"	347	391	243	345	271	437	707	603	797	819
"MYOD1"	0	0	0	0	0	0	0	0	1	0
"LINC02729"	0	0	0	0	0	0	0	0	0	0
"OTOG"	202	502	73	558	173	0	1	0	0	1
"USH1C"	180	646	74	678	218	1	2	0	2	1
"LOC124902641"	1	0	0	0	0	1	0	0	1	0
"SDHCP4"	2	1	0	4	1	1	1	1	1	2
"ABCC8"	114	104	48	142	96	138	242	240	304	278
"KCNJ11"	76	61	49	91	50	87	131	82	126	132
"NCR3LG1"	1138	1200	1051	1112	916	1393	1475	1237	1381	1627
"LOC105376576"	3	0	0	0	2	2	1	0	2	1
"LOC124902640"	204	162	203	160	125	160	116	109	138	179
"NUCB2"	4090	4920	4117	5011	4541	2580	2293	1988	2441	2418
"RPS2P40"	1	0	5	0	3	2	5	3	5	2
"RPL29P21"	0	0	0	0	0	0	0	0	0	0
"RPL34P24"	0	3	1	0	0	0	1	0	1	4
"RNU6.593P"	0	0	0	1	0	2	0	0	0	0
"PIK3C2A"	4128	3829	4844	3237	3027	3919	2741	2162	2681	3298
"SNORD14B"	36	20	22	22	28	21	27	19	28	30
"SNORD14A"	46	28	28	31	27	33	39	31	35	33
"RPS13"	8271	6822	8451	7270	6851	5516	5020	4672	5596	5525
"OR7E14P"	67	34	90	20	44	47	25	27	24	25
"RPL36AP37"	210	175	172	131	266	162	110	86	102	104
"LOC124902817"	0	0	0	0	0	0	0	0	0	0
"SNORD147"	0	0	0	0	0	0	0	0	0	0
"RN7SKP90"	0	0	0	0	0	0	0	0	0	0
"PLEKHA7"	1511	714	1666	715	960	1144	756	700	676	985
"C11orf58"	6820	6215	7207	6472	4662	6348	5501	5556	7050	7102
"LOC105376571"	1	5	0	2	0	7	2	1	5	7
"RN7SL188P"	0	0	0	0	0	0	0	0	0	0
"AKR1B1P3"	1	1	0	1	0	2	2	1	1	1
"LOC124900593"	0	0	0	0	0	0	0	0	0	0
"LOC105376572"	0	0	0	0	0	0	0	0	0	0
"MIR6073"	0	0	0	0	0	0	0	0	0	0
"SOX6"	756	586	813	541	500	834	801	593	709	913
"LINC02682"	0	0	0	0	0	0	0	1	0	0
"LOC124902800"	28	42	22	37	26	47	75	45	69	65
"LOC107984370"	6	9	7	15	9	14	23	20	19	25
"LOC105376567"	0	0	0	1	0	1	1	0	0	2
"LOC105376568"	0	0	0	0	0	0	0	0	0	0
"LINC02751"	0	0	0	0	0	1	0	1	1	0
"INSC"	2	11	2	3	5	4	4	5	5	2
"CALCB"	75	51	40	41	34	49	69	52	112	72
"OR7E41P"	0	0	0	0	0	0	0	0	0	0
"CALCA"	5	3	9	3	7	1	1	3	2	1
"CALCP"	0	0	0	0	0	0	0	0	0	0
"LOC124902638"	0	1	0	0	0	0	0	1	1	1
"CYP2R1"	576	554	475	608	412	623	825	689	1016	897
"LOC124902639"	0	0	0	1	0	2	3	2	4	4
"LOC107984315"	0	0	1	0	0	0	0	0	0	1
"MORF4L1P3"	11	4	14	11	25	4	13	4	12	5
"PDE3B"	215	264	167	290	173	293	347	333	399	411
"PSMA1"	3432	3056	3540	2951	2804	3232	2558	2093	2854	2950
"RNU7.49P"	0	0	0	0	0	0	0	0	0	0
"COPB1"	7756	7546	8344	7332	6496	5972	5252	4614	5927	5721
"LOC105376670"	0	0	0	0	0	0	0	0	0	1
"RRAS2"	1269	1011	1553	1085	851	966	640	695	871	970
"RNA5SP332"	0	0	0	0	0	0	0	0	0	0
"LOC124902637"	2	2	1	3	3	1	4	3	8	5
"SPON1"	328	728	193	710	315	941	1535	901	1512	1258
